Country Name,Continent,Physicians,Above_65,Health_Expenditure,Basic_Sanitation,Basic_Water,GDP_per_capita,Cellular_Subscriptions,cases_per_100000,deaths_per_100000
Guinea-Bissau,Africa,,2.771552585,6.84708118,20.538003,66.63441423,1925.237737,78.4851311,119,4
Guyana,South America,,6.207125185,5.65979004,85.7631015,95.53974768,12005.4051,82.97107151,510,12
Haiti,North America,,4.835433458,8.08468342,34.70445429,65.46682593,2980.960584,57.41806456,135,11
Honduras,North America,0.3089,4.56082731,7.00069904,81.25126294,94.82710944,5561.994542,87.32089987,7198,179
"Hong Kong SAR, China",Asia,,16.30646719,,96.43622449,100,59849.24818,251.7650057,1600,28
Hungary,Europe,3.3447,18.57786108,6.79227543,97.99087339,99.99999749,29465.12624,102.2119005,376,5
Iceland,Europe,3.9773,14.4255412,8.3432579,98.78216824,99.99999943,55098.24908,119.9878586,249,0
India,Asia,0.7779,5.983113317,3.53500652,59.54344827,92.67464257,6185.910974,87.31773719,266233,6939
Indonesia,Asia,0.3767,5.68194834,2.86824059,73.12838737,89.34401223,10935.63172,164.44059,301607,9201
"Iran, Islamic Rep.",Asia,1.1292,6.03870524,8.65966415,88.4218671,95.24454488,14535.87358,107.8997933,159785,1471
Iraq,Asia,0.8375,3.231339911,4.12501717,94.12102245,96.53347833,10971.96768,88.98326332,60414,394
Ireland,Europe,3.2946,13.50665509,7.15484905,91.24518131,97.39454461,77803.04283,103.0630014,8355,8
Isle of Man,Europe,,,,,99.075,,,1072,0
Israel,Asia,3.4783,11.72544666,7.49766827,100.0000015,100.0000015,38898.44359,127.8529153,7040,12
Italy,Europe,3.9805,22.49968895,8.6777401,98.77243267,99.44273388,41581.12079,138.2337679,24074,80
Jamaica,North America,1.3061,8.693331526,6.14377928,87.31260017,90.64843618,9598.387388,105.8330321,629,31
Japan,Asia,,27.10947942,10.79634285,99.89470757,99.01020833,40966.59322,135.5186644,26606,92
Jordan,Asia,2.3237,3.810259372,8.11925125,97.33975414,98.93722265,10003.57497,99.15637314,3020,50
Kazakhstan,Asia,,7.136823252,3.12588406,97.87370168,95.62750722,24862.96612,147.6397785,27022,365
Kenya,Africa,,2.256105606,4.8369956,29.05111506,58.91633339,4046.234771,85.25315693,4091,80
Kiribati,Oceania,,3.824523905,10.77510738,47.80288998,71.61597712,2235.694985,40.4027751,0,0
"Korea, Dem. People's Rep.",Asia,3.6834,9.511728846,,83.15841046,94.51245282,,14.98240747,0,0
"Korea, Rep.",Asia,2.3608,13.85224776,7.10694933,100,99.787655,40957.41806,124.5854293,10687,15
Kosovo,Europe,,,,,,10530.48166,,71,1
Kuwait,Asia,,2.382461572,5.29526615,100,100,50855.46235,176.0024349,6797,81
Kyrgyz Republic,Asia,,4.412807467,6.18586302,96.50706696,87.4559029,5046.691535,136.8066442,8713,73
Lao PDR,Asia,0.3726,3.991551891,2.52514863,74.45941043,82.06189686,7257.812107,53.38406897,1027,1
Latvia,Europe,3.1905,19.83330403,6.00696659,92.14826586,98.62618237,28650.00776,126.2941822,303,8
Lebanon,Asia,2.0255,6.746236054,8.44765568,98.47663917,92.6,15987.65434,64.50864324,2901,6
Lesotho,Africa,,4.872643715,8.94750309,42.75432019,68.64993758,2782.955985,113.8305187,526,19
Liberia,Africa,,3.222707713,8.15604591,16.9735177,72.94803095,1515.64454,56.56895266,98,0
Libya,Africa,2.0905,4.329174115,,100,98.52894737,13238.00054,91.4792962,12865,73
Liechtenstein,Europe,,,,99.95,100,,122.7566138,13,0
Lithuania,Europe,4.8257,19.30095234,6.47619867,93.35363515,97.5420681,33761.87124,153.2757272,969,5
Luxembourg,Europe,3.009,14.10670541,5.25779152,97.60054021,99.88960319,112308.1738,134.1420148,677,2
"Macao SAR, China",Asia,,9.798019548,,,100,126919.6535,328.7904463,92,0
Madagascar,Africa,,2.930183799,5.5050993,10.5067604,54.40398164,1584.424475,34.14284,114,5
Malawi,Africa,,2.649014193,9.64243031,26.22614825,68.83187676,1037.549802,43.98651266,4919,109
Malaysia,Asia,,6.433952021,3.71246052,99.57203616,96.69593891,26661.50742,136.1163217,84136,961
Maldives,Asia,3.7228,3.778389289,9.02997589,99.37299807,99.25620099,18058.58107,181.3288423,718,2
Mali,Africa,,2.514915654,4.10388279,39.33542034,78.26082958,2246.797421,119.0233265,31,1
Malta,Europe,,19.88728869,9.19666958,99.95599411,100.0000022,42404.28983,138.093955,1364,0
Marshall Islands,Oceania,,,16.40007591,83.49405738,88.48643788,3700.636519,27.55864825,0,0
Mauritania,Africa,0.1847,3.130713567,4.50495195,48.43548977,70.69618765,5077.185987,95.13345958,1036,14
Mauritius,Africa,2.3147,10.95168917,5.71669579,95.50483771,99.86633135,21415.11611,145.4726338,1024,1
Mexico,North America,2.3827,7.040770485,5.51889515,91.18305556,99.31821889,19721.26098,91.62670695,76668,1700
"Micronesia, Fed. Sts.",Oceania,,3.806780969,12.31883812,88.30933155,78.56647902,3490.130487,20.73767035,0,0
Moldova,Europe,3.2066,10.90919884,7.01328516,76.30819923,89.05565265,11651.31745,92.28905501,599,17
Monaco,Europe,,,1.64266789,100,100,,85.89810377,89,0
Mongolia,Asia,,3.993819742,4.00506115,58.47939277,83.31311501,11311.76113,124.805205,9411,48
Montenegro,Europe,,14.54770278,,97.77387829,97.04205011,19682.28335,166.4651995,243,3
Morocco,Africa,0.7308,6.753348076,5.23623848,88.50364407,86.77851266,7312.056779,123.4247246,16512,80
Mozambique,Africa,0.0761,2.898333199,8.14048672,29.36029465,55.69397562,1283.65987,41.45170351,11133,164
Myanmar,Asia,0.8638,5.561057877,5.09039927,64.33268404,81.77404853,4739.915445,89.81715795,40131,1923
Namibia,Africa,0.5914,3.668891587,8.28922272,34.50373693,82.54109887,10050.41762,111.552451,5044,395
Nauru,Oceania,,,11.58332348,65.59552643,99.48493442,12975.39238,94.58053533,0,0
Nepal,Asia,0.9101,5.664687404,5.48825455,62.05359545,88.81224952,3098.682692,130.629366,12132,173
Netherlands,Europe,3.6054,18.79213202,10.05979824,97.71361006,99.99999928,55088.6338,120.6250011,61457,16
New Caledonia,Oceania,,8.931625474,,100,99.32859759,,,2,0
New Zealand,Oceania,3.4728,15.32945104,9.01967621,100,100,41971.73398,136.1113084,53,0
Nicaragua,North America,0.9895,5.052291003,8.31693268,74.43473081,81.52476354,6004.02858,128.1139122,269,1
Niger,Africa,,2.590760593,7.66223145,13.56665969,50.27306506,1163.687784,40.63849996,39,1
Nigeria,Africa,,2.749135966,3.75553846,39.1717541,71.3766307,5190.356127,75.92482161,1232,4
North Macedonia,Europe,,13.24983333,6.5939827,99.12474221,93.14146285,15649.92742,96.44629481,115,2
Northern Mariana Islands,Oceania,,,,78.90500285,100,,,,
Norway,Europe,2.8342,16.83497202,10.31589031,98.0543915,100.0000046,64050.75617,107.9930692,1358,3
Oman,Asia,1.9572,2.344721136,3.97352886,99.99999868,91.93807842,29082.47972,148.8216278,0,0
Pakistan,Asia,1.0005,4.313836053,2.90229368,59.86949503,91.46545073,4571.205078,69.51482483,17402,239
